item.ID,item.name,cons.ID,item.type,fixed,cat1,cat2,cat3,cat4,cat5
1,q4,11111,FR,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2,q5,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3,q6,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
4,q7,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
5,q9,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
6,q10,11111,FR,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
7,q11,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8,q22,11111,FR,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
9,q23,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10,q25,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
11,q26,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
12,q27,11111,FR,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
13,q28,11111,FR,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
14,q30,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
15,q32,11111,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
