,q1,ELA/SS,CORE,q2,experience,q3,tenure Y/N,only job
110,2,ELA/SS,core,7,6+,7,Y,Y
111,9,other,core,30,6+,17,Y,N
112,6,ELA/SS,core,9,6+,6,Y,N
113,10,other,non-core,8,6+,7,Y,N
114,3,other,non-core,13,6+,13,Y,Y
115,6,ELA/SS,core,14,6+,1,N,N
116,8,other,non-core,40,6+,2,N,N
117,5,other,non-core,10,6+,6,Y,N
118,9,other,core,13,6+,2,N,N
119,5,other,non-core,26,6+,13,Y,N
120,2,ELA/SS,core,23,6+,13,Y,N
121,7,other,core,11,6+,11,Y,Y
122,6,ELA/SS,core,5,6+,5,Y,Y
123,10,other,non-core,8,6+,5,Y,N
124,9,other,core,15,6+,15,Y,Y
125,4,other,non-core,20,6+,8,Y,N
126,7,other,core,9,6+,9,Y,Y
127,6,ELA/SS,core,28,6+,25,Y,N
128,3,other,non-core,9,6+,7,Y,N
129,10,other,non-core,1,1-5,1,N,Y
130,1,other,non-core,25,6+,19,Y,N
131,5,other,non-core,13,6+,13,Y,Y
132,2,ELA/SS,core,6,6+,6,Y,Y
133,7,other,core,10,6+,5,Y,N
134,2,ELA/SS,core,7,6+,7,Y,Y
135,2,ELA/SS,core,10,6+,9,Y,N
136,6,ELA/SS,core,11,6+,8,Y,N
137,10,other,non-core,24,6+,9,Y,N
138,7,other,core,2,1-5,2,N,Y
139,6,ELA/SS,core,1,1-5,1,N,Y
140,9,other,core,26,6+,3,N,N
141,8,other,non-core,14,6+,7,Y,N
142,7,other,core,3,1-5,2,N,N
143,9,other,core,4,1-5,4,N,Y
144,7,other,core,3,1-5,3,N,Y
145,5,other,non-core,17,6+,7,Y,N
146,10,other,non-core,11,6+,6,Y,N
147,7,other,core,2,1-5,1,N,N
